Nummer;Behandlingsaktivitet;KLE Hovedgruppe;KLE Gruppe;KLE niveau 3
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.00. Organisering og understøttelse af beskæftigelsesindsatsen i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.05. Beskæftigelsesindsats, regionale arbejdsmarkedsråd
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.10. Jobcenterets opbygning
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.15. Beskæftigelsesplaner og resultatrevisioner
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.20. Andre aktører, beskæftigelsesindsats
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.26. Forsøg på beskæftigelsesområdet
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 00. Organisering og understøttelse af beskæftigelsesindsatsen;15.00.30. Opfølgning på kommunernes beskæftigelsesindsats
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 03. Arbejdsmarkedsuddannelser;15.03.00. Arbejdsmarkedsuddannelser i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 03. Arbejdsmarkedsuddannelser;15.03.10. AMU-kurser
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 04. Kommunale beskæftigelsesprojekter;15.04.00. Kommunale beskæftigelsesprojekter i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 04. Kommunale beskæftigelsesprojekter;15.04.10. Beskæftigelsesprojekter
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.00. Beskæftigelsesindsats i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.01. Min Plan - beskæftigelsesindsats
